Title,AuthorLabel,NarratorLabel,RuntimeLabel,ReleaseDateLabel,LanguageLabel,score,Raiting,price
Dragon's Justice 9, Bruce Sentar," Jessica Threet, Jack Douglas", 10 hrs and 18 mins, 02-12-24, English,5 out of 5 stars,13 ratings,$24.95
Malice, Kris Michaels, Matt Haynes, 6 hrs and 9 mins, 02-12-24, English,5 out of 5 stars,2 ratings,$19.95
Recon, Craig Alanson, R.C. Bray, 17 hrs and 53 mins, 05-07-24,null,,Not rated yet,$59.99
Defiance of the Fall 12," TheFirstDefier, JF Brink", Pavi Proczko, , 02-28-24, English,,,
Claim Me Forever, A.L. Jackson," Zachary Webber, Desireé Ketchum", 13 hrs and 21 mins, 02-20-24, English,,Not rated yet,$24.95
Threads of Fate, Luke Chmilenko, Luke Daniels, 21 hrs and 40 mins, 05-07-24, English,,Not rated yet,
Alpha Gray, C.J. Primer," Madison Mitts, Holden Maddox", 10 hrs and 58 mins,, English,5 out of 5 stars,3 ratings,$24.95
The Surrogate, Penelope Ward," Jacob Morgan, Desireé Ketchum", 9 hrs and 52 mins, 02-26-24, English,,,$19.95
The Spoil of Beasts, Gregory Ashe,?, 9 hrs and 53 mins, 02-12-24, English,,Not rated yet,$19.95
System Interference, SunriseCV, Adam Verner, 12 hrs and 48 mins, 02-14-24, English,4.5 out of 5 stars,3 ratings,$24.95
The Housemaid Is Watching, Freida McFadden," Lauryn Allman, Ina Marie Smith", 11 hrs and 42 mins, 06-11-24, English,,Not rated yet,$24.95
Resisting Maxu, Victoria Aveline, Stephen Dexter, 9 hrs and 50 mins, 02-13-24, English,4.5 out of 5 stars,3 ratings,$17.49
Wind and Truth, Brandon Sanderson," Kate Reading, Michael Kramer", 40 hrs, 12-06-24, English,,Not rated yet,$47.24
Legend of the Arch Magus: Publisher's Pack 6, Michael Sisa, Tom Taylorson, 14 hrs and 40 mins, 06-25-24, English,,Not rated yet,$49.99
The Waiting, Michael Connelly,, 12 hrs, 11-05-24, English,,Not rated yet,$21.55
We Who Wrestle with God, Jordan B. Peterson, Jordan B. Peterson,, 11-19-24, English,,,$22.75
Guiding Blight, Robyn Peterman, Jessica Almasy,,, English,4.5 out of 5 stars,3 ratings,$22.37
Ghosts in the Garden, Danielle Garrett, Amanda Ronconi, 5 hrs and 46 mins, 02-13-24, English,5 out of 5 stars,7 ratings,$17.49
Wiedergeburt, Brandon Varnell," Christopher Boucher, Jessica Threet", 6 hrs and 35 mins, 02-09-24, English,5 out of 5 stars,4 ratings,
Hell Divers XII: Heroes, Nicholas Sansbury Smith,, 13 hrs, 07-16-24, English,,Not rated yet,$32.87
Crosshairs," James Patterson, James O. Born"," Peter Giles, Will Collyer", 8 hrs and 14 mins, 02-12-24,null,5 out of 5 stars,19 ratings,$19.24
